mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
750,856,0.15100001,2.126,0.024,1.024,0.011,0.0,DLR
750,858,2.346,0.852,2.755,4.109,2.043,0.0,DLR
750,860,0.0,1.628,2.55,2.081,0.679,0.22299999,DLR
750,861,0.002,7.2070003,1.415,0.557,0.204,0.001,DLR
750,862,10.04,2.275,2.964,3.077,0.317,0.0,DLR
750,865,1.503,3.27,2.981,3.26,2.257,0.339,DLR
750,867,0.0,1.062,1.454,2.45,0.0,0.0,DLR
750,879,0.0,2.423,4.242,1.077,0.561,0.0,DLR
750,882,0.211,3.522,0.315,0.0,0.0,0.361,DLR
750,883,0.211,2.734,1.103,1.931,0.692,0.558,DLR
750,884,13.064,37.389,76.507,7.615,13.927,8.242,DLR
750,887,0.0,0.652,0.386,0.438,1.815,0.39,DLR
750,888,0.0,1.643,2.415,5.684,0.335,0.334,DLR
750,889,1.814,7.717,7.037,3.59,3.895,0.0,DLR
750,890,0.0,4.068,3.577,0.0,0.533,0.0,DLR
750,893,0.0,7.6679997,3.133,1.324,0.61800003,1.802,DLR
750,895,0.257,1.586,2.325,1.3970001,0.0,0.0,DLR
750,940,0.838,0.698,7.403,2.865,0.187,0.016,DLR
757,504,77.187,298.118,170.973,197.164,80.116,23.254,DLR
757,523,27.678,54.624,38.43,47.738,19.799,7.992,DLR
757,533,44.497,80.319,98.964,80.537,20.444,6.178,DLR
757,538,23.876,145.576,42.228,55.948,38.420002,12.424,DLR
757,559,47.699,136.476,49.982,46.16,20.856,8.105,DLR
757,573,361.738,591.042,363.311,458.354,218.786,74.231,DLR
757,719,170.55501,76.857,194.963,127.166,44.865,7.677,DLR
757,749,40.496,251.372,83.845,82.807,34.744,7.084,DLR
757,750,11.973001,57.354,62.673,122.709,40.135,13.904,DLR
757,842,0.61,0.067999996,0.19,0.381,0.0,0.0,DLR
757,850,0.47,0.825,1.172,0.121,0.166,0.018,DLR
757,853,6.983,4.841,2.944,0.211,0.133,0.21000001,DLR
757,854,0.44599998,0.176,0.0,0.0,0.0,0.0,DLR
757,856,0.157,0.201,0.0,0.0,0.0,0.0,DLR
757,857,0.049000002,0.14,0.0,0.0,0.0,0.0,DLR
757,858,0.369,1.661,2.263,1.8050001,0.68299997,0.159,DLR
757,859,1.659,3.126,0.362,0.067999996,0.043,0.009,DLR
757,860,0.023,0.011,0.035,0.0,0.0,0.021,DLR
757,861,0.277,0.511,0.0,0.0,0.0,0.0,DLR
757,862,0.117,0.139,0.3,0.514,0.035,0.006,DLR
757,865,0.018,0.465,0.645,0.087,0.335,0.098000005,DLR
757,866,0.122999996,0.045,0.266,0.019,0.0,0.062,DLR
757,867,0.557,0.038000003,0.144,0.008,0.025,0.0,DLR
757,879,0.333,0.308,0.0,0.0,0.0,0.0,DLR
757,882,0.036,2.861,1.067,0.453,0.424,0.20899999,DLR
757,883,0.24499999,8.024,6.216,0.838,0.524,0.120000005,DLR
757,884,2.375,5.636,11.385,7.15,9.249,4.356,DLR
757,886,0.15,0.047,0.0,0.0,0.0,0.0,DLR
757,887,0.146,0.023,0.0,0.0,0.0,0.0,DLR
757,888,0.29299998,0.01,0.0,0.0,0.0,0.0,DLR
757,889,94.648,255.47,123.238,142.419,51.143,24.059,DLR
757,890,0.15799999,0.16499999,0.0,0.0,0.0,0.0,DLR
757,893,0.22500001,0.14,0.0,0.0,0.0,0.0,DLR
757,894,0.242,0.024,0.0,0.0,0.0,0.0,DLR
757,895,0.001,0.004,0.0,0.0,0.0,0.0,DLR
757,897,2.246,0.248,0.0,0.0,0.0,0.0,DLR
757,898,0.385,0.105000004,0.0,0.0,0.0,0.0,DLR
757,928,0.008,0.044999998,0.0,0.0,0.0,0.0,DLR
757,940,1.092,1.306,0.0,0.0,0.0,0.0,DLR
842,504,1.039,14.74,10.125,62.563,22.334,2.946,DLR
842,513,78.71,2627.709,1899.26,2221.374,617.43,139.51,DLR
842,523,0.0,7.735,5.33,7.077,6.613,3.196,DLR
842,533,2.958,12.857,42.342,37.352,4.258,0.509,DLR
